postcode,August,December,November,October,September
3000,496.28205128205127,,,400.0,657.4137931034483
3002,661.6,,,495.0,900.0
3003,476.6666666666667,,,,556.4285714285714
3004,734.6875,,,,613.8461538461538
3006,516.1111111111111,,,440.0,580.5555555555555
3008,,,,,542.5
3011,422.5,,,526.6666666666666,460.0
3012,392.5,,,,582.5
3013,630.0,,,,593.0
3015,494.0,,,550.0,601.875
3016,550.0,,,,747.2727272727273
3018,,,,,415.0
3019,600.0,,,,
3020,324.0,,,,
3021,382.5,,,,250.0
3022,400.0,,,,
3023,423.8,,,390.0,458.125
3024,390.625,,,450.0,382.85714285714283
3025,800.0,,,,578.5714285714286
3028,460.0,,,,
3029,444.1666666666667,,,330.0,421.3333333333333
3030,377.36842105263156,,,460.0,393.4375
3031,588.5714285714286,,,,561.25
3032,577.3076923076923,,,,518.75
3036,380.0,,,,
3037,413.3333333333333,,,,420.0
3039,487.5,,,,543.5714285714286
3040,420.0,,,,370.0
3041,650.0,,,,570.0
3042,850.0,,,,420.0
3043,480.0,,,,400.0
3044,443.0769230769231,,,,420.0
3046,485.0,,,425.0,435.0
3047,422.5,,,,500.0
3049,427.5,,,,
3051,474.44444444444446,,,565.0,483.75
3052,780.0,,,,450.0
3053,718.6111111111111,,,540.0,736.25
3054,650.0,,,500.0,628.3333333333334
3055,539.375,,,520.0,600.4615384615385
3056,643.3928571428571,,,,638.2352941176471
3057,610.3571428571429,,,475.0,543.3333333333334
3058,567.5,,,365.0,565.0
3059,,,,,675.0
3060,411.25,,,,
3064,440.0,,,,420.0
3065,760.0,,,,715.5555555555555
3066,750.0,,,475.0,648.421052631579
3067,520.5,,,500.0,568.0
3068,785.4347826086956,,,500.0,678.0
3070,752.1428571428571,,,1050.0,660.3333333333334
3071,396.6666666666667,,,485.0,736.4285714285714
3072,593.75,,,,563.3333333333334
3073,400.0,,,,385.0
3074,,,,,400.0
3075,450.0,,,,500.0
3078,430.0,,,750.0,605.0
3079,400.0,,,,400.0
3081,460.0,,,300.0,440.0
3082,,,,,360.0
3083,575.0,,,,330.0
3084,420.0,,,,425.0
3087,450.0,,,520.0,
3095,,,,,500.0
3101,904.2142857142857,,,,655.5
3102,922.5,,,,730.0
3103,539.1666666666666,,,,596.0
3104,851.6666666666666,,,,1130.0
3105,525.0,,,,500.0
3106,635.0,,,,
3107,645.0,,,,
3108,510.0,,,520.0,650.0
3109,568.0,,,695.0,
3114,670.0,,,,
3116,,,,,480.0
3121,674.53125,,,629.2857142857143,649.609375
3122,578.0,,,,1402.142857142857
3123,640.2976470588236,,,,974.375
3124,716.0,,,1500.0,547.5
3125,559.1666666666666,,,,220.0
3126,752.2222222222222,,,,522.5
3127,881.0,,,,455.0
3128,492.5,,,,400.0
3129,550.0,,,,600.0
3130,523.75,,,,350.0
3131,690.0,,,,400.0
3132,550.0,,,,
3133,,,,,407.5
3134,490.0,,,,565.0
3135,555.0,,,,550.0
3136,400.0,,,475.0,496.0
3138,485.0,,,,450.0
3141,661.3698630136986,,,550.0,513.9285714285714
3142,1343.75,,,,1192.857142857143
3143,689.0,,,950.0,757.3333333333334
3144,1386.6666666666667,,,,580.0
3145,554.375,,,495.0,542.7272727272727
3146,516.5,,,,1074.6153846153845
3147,380.0,,,,561.4285714285714
3148,551.4285714285714,,,,540.0
3149,569.1666666666666,,,495.0,
3150,731.6666666666666,,,,520.0
3151,450.0,,,,
3152,470.0,,,440.0,488.57142857142856
3153,430.0,,,,540.0
3155,,,,,425.0
3156,470.0,,,,440.0
3158,530.0,,,,
3159,,,,,
3160,,,,,
3161,531.0416666666666,,,450.0,544.0
3162,610.8823529411765,,,450.0,532.5
3163,492.85714285714283,,,,528.75
3165,662.5,,,440.0,849.3478260869565
3166,618.3030303030303,,,795.0,539.4736842105264
3167,543.0,,,,578.3333333333334
3168,511.07142857142856,,,,448.3333333333333
3169,489.09090909090907,,,,551.25
3170,500.0,,,,562.5
3171,447.0,,,,
3172,500.0,,,,475.0
3174,600.0,,,,
3175,422.0,,,,390.0
3177,350.0,,,,455.0
3178,530.0,,,,
3179,490.0,,,,
3180,,,,,600.0
3181,691.4473684210526,,650.0,591.875,616.639344262295
3182,680.4444444444445,,,750.0,504.14285714285717
3183,692.8846153846154,,,800.0,575.5416666666666
3184,712.2222222222222,,,,489.0
3185,551.4285714285714,,,,515.7142857142857
3186,1360.2,,,1550.0,1484.054054054054
3187,1173.235294117647,,,820.0,847.0555555555555
3188,1068.3333333333333,,,500.0,778.5
3189,608.3333333333334,,,,
3190,633.3333333333334,,,795.0,590.0
3191,956.25,,,,692.5
3192,575.7142857142857,,,,412.5
3193,1070.357142857143,,,1090.0,806.6666666666666
3194,320.0,,,,533.3333333333334
3195,890.0,,,,
3196,,,,,630.0
3197,490.0,,,,710.0
3198,625.0,,,,550.0
3199,430.0,,,520.0,510.0
3200,400.0,,,,397.5
3201,450.0,,,,550.0
3204,516.25,,,540.0,731.1904761904761
3205,780.4166666666666,,,1100.0,622.1428571428571
3206,945.7692307692307,,,1350.0,859.0
3207,817.2972972972973,,,496.42857142857144,591.5384615384615
3212,,,,,490.0
3215,,,,,590.0
3216,540.0,,,,445.0
3217,520.0,,,,450.0
3218,505.7142857142857,,,443.3333333333333,483.3333333333333
3220,,,,,628.3333333333334
3222,450.0,,,460.0,
3223,,,,420.0,
3224,,,,,480.0
3280,370.0,,,380.0,380.0
3284,,,,430.0,
3335,388.75,,,,420.0
3336,463.3333333333333,,,,456.6666666666667
3337,380.0,,,,380.0
3338,419.0,,,420.0,401.25
3340,,,,,475.0
3350,480.0,,,500.0,750.0
3352,450.0,,,,320.0
3427,500.0,,,,
3429,,,,,512.5
3437,,,,,480.0
3442,680.0,,,570.0,480.0
3444,530.0,,,,
3458,,,,650.0,
3683,,,,,400.0
3690,421.42857142857144,,430.0,403.3333333333333,449.1666666666667
3691,480.0,,,,476.6666666666667
3700,,,,,470.0
3747,600.0,,,,435.0
3750,495.0,,,,360.0
3753,,,,,450.0
3754,485.0,,,441.0,435.0
3756,,,,,400.0
3788,,,,,495.0
3796,,,,,250.0
3803,430.0,,,,470.0
3805,575.0,,,,436.6666666666667
3806,490.0,,,,481.6666666666667
3807,,,,,510.0
3809,,,,,498.75
3810,444.2857142857143,,,,469.70588235294116
3815,460.0,,,,
3816,,,,,415.0
3818,440.0,,,450.0,367.5
3820,467.0,,,450.0,452.5
3910,,,,,700.0
3912,,,,,510.0
3926,,,,,1995.0
3929,850.0,4000.0,,,
3930,,,,,724.1666666666666
3931,595.0,,,925.0,640.0
3937,850.0,,,,
3941,625.0,,,,
3944,,,,1100.0,
3977,486.6666666666667,,,510.0,509.1666666666667
3978,,,,,458.75
3980,,,,,550.0
