,suburb,house_cost,transport_cost,shopping_mall,eating,enviornment,education,safty,health_care,livable_index
723,west bendigo,0.4581959892525449,1.0,0.06017110266159695,0.046632124352331605,0.10614035087719298,0.3404255319148936,0.001314506212101938,0.8333333333333334,0.30227248498869125
286,gerrigerrup,1.0,4.034822270464662e-05,0.0,0.0051813471502590676,0.007017543859649123,0.0425531914893617,0.25833333333333336,0.16666666666666666,0.3000064557156327
334,hopetoun,0.9679781558392907,0.001095238095238095,0.0,0.010362694300518135,0.012280701754385965,0.0425531914893617,0.2719298245614035,0.16666666666666666,0.2905686848470253
494,murtoa,0.8935182976978068,0.0003835730664998957,0.0,0.0025906735751295338,0.013157894736842105,0.0425531914893617,0.10481825866441251,0.0,0.268116860999982
717,waurn ponds,0.7539338147078364,0.24997080067619487,0.00949792243767313,0.11658031088082901,0.12017543859649123,0.5106382978723404,0.0023778020671537327,0.0,0.26693530631555595
718,wedderburn,0.8711803402553617,0.001867072552004059,0.0,0.0,0.0035087719298245615,0.02127659574468085,0.0668103448275862,0.0,0.2616528336849292
588,rupanyup,0.8711803402553617,0.00031746031746031746,0.0,0.0025906735751295338,0.002631578947368421,0.02127659574468085,0.24313725490196078,0.16666666666666666,0.26140489572740216
194,curdievale,0.8711803402553617,9.069288874102005e-05,0.0,0.0051813471502590676,0.014035087719298246,0.0425531914893617,0.08367071524966262,0.16666666666666666,0.2613686129388071
172,connewarre,0.8296955621479635,0.0032596371882086164,0.0,0.018134715025906734,0.005263157894736842,0.0425531914893617,0.034444444444444444,0.0,0.24943021059450243
166,cobden,0.8296955621479635,0.0016083916083916082,0.0,0.03367875647668394,0.07631578947368421,0.1702127659574468,0.06645230439442658,0.0,0.2491660113017317
690,tresco west,0.8296955621479635,8.908254659888647e-05,0.0,0.0025906735751295338,0.007017543859649123,0.02127659574468085,0.14921780986762936,0.0,0.24892292185184486
489,mount pleasant,0.591246134423147,0.4449143416544297,0.0,0.13212435233160622,0.2026315789473684,0.7021276595744681,0.0010405390663679314,0.6666666666666666,0.24856013499165286
550,penshurst,0.8137713528322651,0.0006479750778816197,0.0,0.0051813471502590676,0.007017543859649123,0.0425531914893617,0.25833333333333336,0.16666666666666666,0.24423508186214057
130,cape bridgewater,0.8133685043050938,0.0007472205578856267,0.0,0.0051813471502590676,0.02982456140350877,0.2127659574468085,0.005629199201016888,0.16666666666666666,0.24413010658078982
572,redan,0.5829250616540663,0.42614158462259727,0.0,0.13212435233160622,0.2026315789473684,0.7021276595744681,0.0010405390663679314,0.6666666666666666,0.24306017203583546
280,gardenvale,0.7358436669368309,0.08691902232679843,0.0,0.29015544041450775,0.30087719298245613,0.1702127659574468,0.008491405875505034,0.16666666666666666,0.234660143653337
565,preston south,0.3520328741775169,0.5006031467026864,0.6110038610038608,0.03367875647668394,0.043859649122807015,0.3404255319148936,0.0013567927170868347,0.0,0.23458667460599375
105,brown hill,0.4568872104856196,0.5738383838383838,0.0,0.13212435233160622,0.2026315789473684,0.7021276595744681,0.0010405390663679314,0.6666666666666666,0.22888030455982727
329,heywood,0.757548121961184,0.002280473446117618,0.0,0.0051813471502590676,0.017543859649122806,0.06382978723404255,0.04542124542124542,0.16666666666666666,0.22762931233973402
676,timboon west,0.757548121961184,0.0013105413105413107,0.0,0.0051813471502590676,0.014035087719298246,0.0425531914893617,0.08367071524966262,0.16666666666666666,0.22747412319804183
