,postcode,count
465,3747,1
434,3744,1
433,3644,1
432,3792,1
431,3779,1
430,3342,1
429,3341,1
428,3558,1
427,3432,1
426,3610,1
425,3833,1
424,3401,1
423,3517,1
422,3633,1
421,3321,1
420,3763,1
419,3823,1
418,3567,1
417,3531,1
416,3588,1
415,3373,1
414,3728,1
413,3388,1
412,3589,1
411,3390,1
410,3509,1
435,3292,1
436,3379,1
464,3221,1
438,3114,1
437,3377,1
463,3453,1
462,3890,1
461,3903,1
460,3902,1
459,3864,1
457,3895,1
456,3566,1
455,3563,1
454,3274,1
453,3281,1
452,3276,1
458,3865,1
450,3312,1
451,3273,1
439,3438,1
440,3751,1
441,3235,1
443,3063,1
444,3622,1
442,3232,1
445,3797,1
446,3856,1
447,3870,1
448,3303,1
449,3311,1
386,3670,2
389,3518,2
388,3557,2
387,3758,2
391,3697,2
385,3314,2
379,3646,2
383,3725,2
382,3561,2
381,3287,2
380,3862,2
392,3787,2
384,3858,2
393,3770,2
390,3458,2
395,3159,2
408,3242,2
407,3115,2
406,3446,2
394,3777,2
404,3370,2
403,3612,2
402,3440,2
405,3812,2
400,3260,2
399,3595,2
398,3465,2
409,3886,2
397,3933,2
396,3755,2
401,3521,2
363,3396,3
364,3494,3
365,3673,3
366,3283,3
367,3808,3
368,3791,3
370,3266,3
369,3594,3
372,3584,3
373,3096,3
374,3441,3
375,3278,3
376,3688,3
377,3950,3
378,3516,3
371,3786,3
352,3293,4
353,3804,4
354,3665,4
355,3898,4
356,3428,4
357,3444,4
359,3620,4
360,3091,4
361,3726,4
362,3302,4
358,3814,4
342,3683,5
338,3154,5
339,3981,5
340,3717,5
341,3364,5
343,3240,5
348,3775,5
345,3277,5
346,3701,5
347,3928,5
344,3824,5
349,3351,5
350,3139,5
351,3501,5
327,3202,6
328,3363,6
329,3304,6
330,3269,6
331,3980,6
334,3766,6
333,3700,6
337,3793,6
332,3860,6
335,3636,6
336,3882,6
318,3435,7
319,3241,7
320,3796,7
321,3659,7
317,3158,7
323,3090,7
324,3922,7
325,3851,7
326,3984,7
322,3821,7
316,3515,8
315,3767,8
314,3355,8
313,3099,8
312,3160,8
311,3265,8
310,3331,8
303,3231,9
302,3442,9
304,3225,9
308,3885,9
306,3699,9
305,3608,9
309,3904,9
307,3227,9
301,3816,10
300,3854,10
299,3669,10
298,3270,10
297,3264,10
295,3285,11
294,3437,11
293,3211,11
292,3490,11
291,3878,11
290,3272,11
289,3815,11
296,3698,11
288,3807,12
286,3831,13
285,3847,13
287,3783,13
280,3781,14
281,3301,14
282,3113,14
283,3289,14
284,3666,14
279,3782,15
278,3431,15
277,3268,15
276,3765,16
275,3909,16
274,3315,16
273,3282,16
272,3749,17
268,3213,18
270,3505,18
271,3616,18
269,3842,18
267,3916,19
266,3434,19
