,postcode,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,year 2025,surburb
111,3141,0,-1.3392246312636324,-3.123194433701287,0.4253051880238621,11.55324679191071,0.0,0.0,['south yarra']
151,3184,0,-1.9620107449629176,-0.004126006994202521,-1.2170639404332537,9.928657110325682,0.0,0.0,['elwood']
112,3142,0,-0.5168824629013505,-1.3208407722628994,-0.8749217234600638,9.383691841826973,0.0,0.0,['toorak']
92,3122,0,-0.7648519538402943,-3.6154626276216066,1.529610745490336,9.19545150386029,0.0,0.0,['hawthorn']
362,3927,0,2.238409021068309,-2.330339942166878,-4.955812845103004,9.112363683891402,0.0,0.0,['somers']
0,3000,0,-3.3234659867050738,-2.9746387813084447,3.928096299675895,9.088866723928348,0.0,0.0,['melbourne']
149,3182,0,-0.8552740299481502,-1.6662441762131948,0.37863497247715155,8.817655075347362,0.0,0.0,"['st kilda', 'st kilda west']"
152,3185,0,-2.6436851983276086,-0.8148270972391033,0.3491821350716437,8.507362196722374,0.0,0.0,"['elsternwick', 'gardenvale', 'ripponlea']"
76,3099,0,-4.283811240971051,1.678616429282963,-5.381320871456683,8.141058525034293,0.0,0.0,"['cottles bridge', 'hurstbridge']"
93,3123,0,-2.4630139793291326,-0.4379309407338422,0.9351707665172333,7.854717360126854,0.0,0.0,['hawthorn east']
