,Unnamed: 1
2,Albert%20Park-middle%20Park-west%20St%20Kilda
3,Armadale
4,Carlton%20North
5,Carlton-parkville
6,Cbd-st%20Kilda%20Rd
7,Collingwood-abbotsford
8,Docklands
9,East%20Melbourne
10,East%20St%20Kilda
11,Elwood
12,Fitzroy
13,Fitzroy%20North-clifton%20Hill
14,Flemington-kensington
15,North%20Melbourne-west%20Melbourne
16,Port%20Melbourne
17,Prahran-windsor
18,Richmond-burnley
19,South%20Melbourne
20,South%20Yarra
21,Southbank
22,St%20Kilda
23,Toorak
24,Group%20Total
25,Balwyn
26,Blackburn
27,Box%20Hill
28,Bulleen-templestowe-doncaster
29,Burwood-ashburton
30,Camberwell-glen%20Iris
31,Canterbury-surrey%20Hills-mont%20Albert
32,Chadstone-oakleigh
33,Clayton
34,Doncaster%20East-donvale
35,East%20Hawthorn
36,Glen%20Waverley-mulgrave
37,Hawthorn
38,Kew
39,Mount%20Waverley
40,Nunawading-mitcham
41,Vermont-forest%20Hill-burwood%20East
43,Aspendale-chelsea-carrum
44,Bentleigh
45,Brighton
46,Brighton%20East
47,Carnegie
48,Caulfield
49,Cheltenham
50,Elsternwick
51,Hampton-beaumaris
52,Malvern
53,Malvern%20East
54,Mentone-parkdale-mordialloc
55,Murrumbeena-hughesdale
57,Altona
58,Footscray
59,Keilor%20East-avondale%20Heights
60,Melton
61,Newport-spotswood
62,St%20Albans-deer%20Park
63,Sunshine
64,Sydenham
65,Werribee-hoppers%20Crossing
66,West%20Footscray
67,Williamstown
68,Yarraville-seddon
70,Broadmeadows-roxburgh%20Park
71,Brunswick
72,Coburg-pascoe%20Vale%20South
73,Craigieburn
74,East%20Brunswick
75,Essendon
76,Gladstone%20Park-tullamarine
77,Keilor
78,Moonee%20Ponds-ascot%20Vale
79,Oak%20Park-glenroy-fawkner
80,Pascoe%20Vale-coburg%20North
81,Sunbury
82,West%20Brunswick
84,Bundoora-greensborough-hurstbridge
85,Eltham-research-montmorency
86,Fairfield-alphington
87,Heidelberg-heidelberg%20West
88,Ivanhoe-ivanhoe%20East
89,Mill%20Park-epping
90,Northcote
91,Preston
92,Reservoir
93,Thomastown-lalor
94,Thornbury
95,Whittlesea
97,Bayswater
98,Boronia
99,Croydon-lilydale
100,Ferntree%20Gully
101,Ringwood
102,Rowville
103,Wantirna-scoresby
104,Yarra%20Ranges
106,Berwick
107,Cranbourne
108,Dandenong
109,Dandenong%20North-endeavour%20Hills
110,Narre%20Warren-hampton%20Park
111,Noble%20Park
112,Pakenham
113,Springvale
115,Dromana-portsea
116,Frankston
117,Hastings-flinders
118,Mt%20Eliza-mornington-mt%20Martha
119,Seaford-carrum%20Downs
121,Belmont-grovedale
122,Corio
123,Geelong-newcombe
124,Herne%20Hill-geelong%20West
125,Lara
126,Newtown
127,North%20Geelong
129,Ballarat
130,Mount%20Clear-buninyong
131,Sebastopol-delacombe
132,Wendouree-alfredton
134,Bendigo
135,Flora%20Hill-bendigo%20East
136,Golden%20Square-kangaroo%20Flat
137,North%20Bendigo
139,Bairnsdale
140,Benalla
141,Castlemaine
142,Echuca
143,Hamilton
144,Horsham
145,Mildura
146,Moe-newborough
147,Morwell
148,Ocean%20Grove-barwon%20Heads
149,Portland
150,Sale-maffra
151,Seymour
152,Shepparton
153,Swan%20Hill
154,Torquay
155,Traralgon
156,Wanagaratta
157,Warragul
158,Warrnambool
159,Wodonga
